Car Brand,Car Model,Manufacture Year,Sales Date,Sale Country,Price
Mercedes-Benz,C-Class,2016,2000-06-22,Slovenia,71793
BMW,7 Series,2006,2019-12-23,Papua New Guinea,32109
BMW,5 Series,2004,2024-02-02,Ethiopia,70668
Chevrolet,Silverado,1993,2022-02-09,Somalia,45641
Ford,Mustang,1971,2019-10-13,Brazil,54100
Nissan,Sentra,2023,2019-11-14,Paraguay,30548
Ford,Focus,2004,2023-12-07,Serbia,56344
Nissan,Altima,1981,2019-11-18,Guadeloupe,26169
Ford,F-150,2009,2021-07-28,San Marino,39883
Toyota,Camry,1980,2024-01-18,Kyrgyz Republic,60136
Chevrolet,Malibu,2011,2022-05-04,United Arab Emirates,126310
Honda,Accord,2011,1980-08-04,French Southern Territories,17791
Wrong Brand,Camry,1975,2022-04-17,Norfolk Island,34189
Mercedes-Benz,E-Class,2004,2020-08-16,Comoros,75543
Honda,Pilot,1981,2022-10-28,Djibouti,32203
Mercedes-Benz,E-Class,2011,2022-04-29,Wallis and Futuna,72333
Volkswagen,Passat,2022,2021-10-29,Gambia,79279
Nissan,Pathfinder,1988,2019-03-19,Algeria,75514
Chevrolet,Silverado,1971,2022-11-02,Belize,44276
Volkswagen,Passat,2016,2019-05-22,Libyan Arab Jamahiriya,48839
Audi,Q5,1990,2020-08-17,Georgia,64199
Chevrolet,Traverse,1978,2023-12-13,Bahamas,79159
Ford,F-150,1981,2020-03-18,Mali,60840
Mercedes-Benz,E-Class,2014,2020-05-11,Luxembourg,20495
Tesla,Cybertruck,1982,2019-11-26,Jordan,12292
Honda,Accord,1994,2022-01-06,Switzerland,33424
Ford,Explorer,1989,2019-06-22,Antigua and Barbuda,13284
Audi,Q7,1978,2022-05-28,Iraq,23303
Chevrolet,Cruze,1983,2023-08-22,Saint Pierre and Miquelon,74042
Ford,Mustang,1981,2022-07-19,Antarctica (the territory South of 60 deg S),46389
Volkswagen,Tiguan,2023,2022-10-28,Norway,50012
Chevrolet,Traverse,1993,2023-06-10,Luxembourg,25828
Mercedes-Benz,GLE,2011,2022-09-25,New Caledonia,64720
Toyota,Corolla,2008,2023-11-20,Denmark,72224
Audi,A6,2008,2022-11-26,Nauru,75415
Nissan,Pathfinder,2002,2023-05-31,Togo,33928
BMW,5 Series,1999,2023-12-08,Northern Mariana Islands,43136
Audi,A6,2022,2019-10-03,Ecuador,486850
BMW,7 Series,2017,2023-09-19,Palau,48830
Tesla,Model 3,1978,2023-01-04,Barbados,47191
BMW,7 Series,1992,2021-12-17,Cook Islands,69033
Chevrolet,Traverse,2018,2022-02-10,Togo,46770
Ford,F-150,1993,2021-07-08,Maldives,18264
Ford,Focus,1997,2020-10-17,New Zealand,406460
Toyota,Camry,1999,1998-04-16,Sweden,28404
Honda,Pilot,1983,2023-03-03,Slovenia,43296
Tesla,Model S,1975,2021-05-21,Cocos (Keeling) Islands,28534
Toyota,Tacoma,1971,2022-01-30,Slovenia,52781
Ford,Focus,2023,2019-03-19,Cayman Islands,68894
Honda,Pilot,1999,2022-04-04,Pakistan,28655
Ford,F-150,1992,2021-05-03,Swaziland,76843
Toyota,Corolla,2012,2022-07-26,Suriname,36465
Wrong Brand,Tiguan,2005,2022-06-15,United States Minor Outlying Islands,41046
Honda,Accord,1992,2022-11-20,Eritrea,477640
Ford,Escape,1982,2021-03-29,Philippines,20276
BMW,X5,1997,2019-08-01,Australia,58308
Chevrolet,Traverse,2011,2019-12-17,Lesotho,72267
Volkswagen,Golf,1977,2019-08-06,Senegal,40373
Nissan,Rogue,1990,2023-06-16,Isle of Man,18656
Volkswagen,Passat,2018,2021-10-15,Italy,10205
BMW,X3,2005,2019-11-12,Croatia,49808
Honda,Pilot,1971,2020-08-04,Martinique,45501
Tesla,Model Y,1992,2022-07-24,Uganda,55390
Honda,Pilot,1986,2022-01-01,Albania,55999
Audi,Q5,2006,2020-04-29,Taiwan,73079
BMW,X3,1972,2023-07-29,Jordan,57210
Chevrolet,Cruze,1990,2021-08-13,China,30080
Audi,Q7,1971,2020-10-15,South Africa,26235
Chevrolet,Silverado,1973,2020-10-11,Latvia,57507
Honda,Accord,1984,2019-10-20,Antigua and Barbuda,45847
Chevrolet,Malibu,2018,2023-09-16,Hong Kong,27211
Volkswagen,Jetta,2004,2023-11-13,Niger,62950
Tesla,Model 3,1994,2020-07-01,Dominican Republic,59752
Honda,Odyssey,2002,2021-08-03,Svalbard & Jan Mayen Islands,77862
Ford,Explorer,2022,2023-08-08,Russian Federation,20422
Mercedes-Benz,S-Class,1983,2019-12-06,Tanzania,689330
Audi,A3,1976,2021-12-24,Malawi,55397
Chevrolet,Traverse,2006,2019-12-08,Guatemala,37611
Audi,A4,1971,2021-10-09,Togo,69318
Mercedes-Benz,E-Class,2007,2023-08-10,Saint Pierre and Miquelon,48633
Nissan,Titan,1973,1972-02-16,Uruguay,46008
Mercedes-Benz,GLE,1974,2019-09-10,Belize,52712
Toyota,Corolla,2007,2021-06-20,Namibia,44426
Tesla,Model X,1986,2020-09-01,India,41532
Ford,F-150,1997,2021-12-02,Switzerland,34643
Volkswagen,Tiguan,2015,2021-12-11,Botswana,32557
Ford,Mustang,1978,2021-03-07,Saint Vincent and the Grenadines,62674
Ford,Escape,1996,2023-11-09,Japan,73979
Honda,Odyssey,1972,2020-08-21,Portugal,423720
Honda,Odyssey,1970,2019-05-29,British Indian Ocean Territory (Chagos Archipelago),10696
Volkswagen,Tiguan,1978,2021-01-01,Brazil,55403
Mercedes-Benz,E-Class,2019,2020-06-19,Niger,52682
Nissan,Rogue,1978,2023-12-19,Japan,31526
Volkswagen,Tiguan,2010,2021-02-18,Myanmar,12892
Chevrolet,Traverse,1971,2019-02-28,Northern Mariana Islands,73611
Volkswagen,Atlas,2003,2021-09-26,Oman,69761
Audi,Q7,1999,2020-01-26,Croatia,53012
Volkswagen,Atlas,2015,2022-02-16,Nigeria,43264
Honda,Accord,1970,2023-01-02,Tuvalu,130570
Audi,Q7,2005,2021-12-05,Mayotte,75578
Audi,A4,2010,2019-07-18,Guam,31105
Mercedes-Benz,E-Class,2017,2020-12-21,Mauritius,55519
Volkswagen,Passat,1987,2020-10-26,Zambia,10062
Chevrolet,Traverse,1977,2020-08-14,Nauru,573530
Audi,A3,1988,2022-02-06,Myanmar,33229
Nissan,Pathfinder,2019,2022-11-05,Cape Verde,44465
Audi,Q7,1991,2020-01-10,Belarus,47150
Audi,A6,2019,2021-05-19,Hong Kong,64473
Volkswagen,Tiguan,2008,2023-10-07,Faroe Islands,346800
Chevrolet,Cruze,2011,2023-01-18,Mayotte,39908
Chevrolet,Traverse,1973,2020-02-01,Monaco,33673
Toyota,RAV4,1989,2021-08-15,Syrian Arab Republic,24515
Nissan,Rogue,1979,2019-07-10,Sierra Leone,68906
Nissan,Sentra,1982,2014-01-24,Greece,13632
Audi,A6,2022,2021-09-30,Togo,12194
Chevrolet,Equinox,2003,2023-01-02,Iceland,44851
Nissan,Rogue,1970,2022-09-20,Montenegro,35795
BMW,5 Series,2013,2019-02-16,Venezuela,333930
BMW,X5,1996,2023-12-06,Bangladesh,54687
Tesla,Model S,2011,2023-01-20,Kenya,29375
BMW,X5,2022,2019-12-24,Australia,44891
Audi,Q7,1992,2022-04-29,American Samoa,21256
Ford,Focus,1989,2023-04-07,Lao People's Democratic Republic,58160
Ford,F-150,1981,2019-07-16,Uzbekistan,55877
Toyota,Camry,1986,2022-01-03,Mauritania,21280
Ford,Explorer,1981,2022-11-14,Palau,42963
Toyota,RAV4,1974,2022-01-26,Latvia,26901
Audi,A3,1984,2023-08-05,North Macedonia,67143
BMW,7 Series,1999,2019-09-13,Svalbard & Jan Mayen Islands,42590
Volkswagen,Passat,2009,2021-06-20,Vanuatu,12515
Audi,Q7,1987,2019-03-20,Syrian Arab Republic,66208
Nissan,Rogue,1980,2021-10-25,Fiji,73182
Ford,Focus,1976,2022-04-30,Mongolia,42803
Wrong Brand,A3,2001,2021-12-06,Suriname,77343
Ford,Escape,1994,2023-03-27,Chad,62611
Audi,Q5,1986,2023-04-08,North Macedonia,73354
Ford,Escape,1975,2021-05-12,Malaysia,20342
Audi,A4,1977,2021-10-31,Kyrgyz Republic,172720
Honda,Accord,2010,2019-10-12,Samoa,34437
Volkswagen,Passat,2014,1989-12-07,Mauritius,41322
Honda,CR-V,2009,2022-01-21,Kyrgyz Republic,65938
BMW,X3,1988,2022-03-23,Faroe Islands,45944
Honda,Pilot,2010,2020-11-13,Suriname,11563
Honda,CR-V,1993,2005-04-06,Barbados,54632
Honda,Odyssey,2000,1979-12-24,Greece,44164
BMW,3 Series,1985,2023-09-07,Kyrgyz Republic,41340
Honda,Civic,1995,2022-12-09,Bangladesh,29292
Volkswagen,Golf,1990,2019-06-01,Solomon Islands,71677
Toyota,RAV4,1974,2020-06-01,Israel,38966
Toyota,Highlander,2004,1981-11-26,Saint Helena,76595
Nissan,Rogue,2016,2021-07-13,Paraguay,28434
Volkswagen,Tiguan,1975,2006-06-21,Pitcairn Islands,17588
Chevrolet,Malibu,1979,2023-11-12,South Georgia and the South Sandwich Islands,58281
Toyota,Corolla,2000,2022-07-26,Panama,28245
Toyota,Highlander,1985,2022-06-27,Tonga,55211
Toyota,Corolla,2016,2022-01-14,Venezuela,22494
Chevrolet,Malibu,2000,2019-02-18,Madagascar,56537
BMW,X5,1987,2023-11-03,Heard Island and McDonald Islands,50953
Honda,Accord,2000,2022-04-26,Mongolia,66720
Mercedes-Benz,E-Class,2020,2021-02-08,Ecuador,44339
Honda,Civic,1999,2023-07-13,Tajikistan,32055
Honda,Odyssey,2014,2022-08-24,New Zealand,42693
Chevrolet,Cruze,2004,2022-02-16,Indonesia,62983
Wrong Brand,Escape,1990,2022-07-05,Ethiopia,27218
Chevrolet,Malibu,1971,2022-01-12,Bulgaria,57974
Volkswagen,Tiguan,1970,2022-03-31,Korea,30894
Mercedes-Benz,C-Class,1983,2021-06-19,Saint Vincent and the Grenadines,11426
Honda,Accord,2000,2023-02-21,Latvia,25280
Chevrolet,Silverado,1979,2021-01-27,Algeria,58148
Ford,Focus,1986,2024-01-30,Solomon Islands,24836
Honda,CR-V,1984,2021-04-20,Kyrgyz Republic,30530
Audi,A3,1970,2020-03-21,Nepal,18894
Mercedes-Benz,S-Class,1975,2021-01-25,Fiji,48508
Honda,Pilot,2015,1986-05-10,Czech Republic,29759
Volkswagen,Atlas,1982,2021-04-23,Turkey,733830
Nissan,Sentra,2000,2023-11-23,Brunei Darussalam,34376
Audi,A4,1979,2021-06-05,Fiji,51317
Chevrolet,Traverse,1994,2021-09-17,Djibouti,76006
Toyota,Highlander,1971,2019-06-29,United States of America,25839
Tesla,Model 3,2002,2023-06-01,Fiji,15181
BMW,7 Series,2015,2022-08-06,Japan,18202
Tesla,Model 3,1990,2019-03-17,Syrian Arab Republic,32430
Volkswagen,Atlas,2002,2019-09-07,Mongolia,10872
Mercedes-Benz,GLE,1976,2020-01-21,Argentina,57430
Tesla,Model 3,2008,2019-07-26,Moldova,42262
Volkswagen,Tiguan,1999,2021-10-07,Martinique,55811
Volkswagen,Golf,1996,2023-05-10,Timor-Leste,32102
Nissan,Titan,1984,2023-12-01,Suriname,67353
Chevrolet,Equinox,1990,2022-01-25,Solomon Islands,11110
Wrong Brand,Silverado,2004,2023-10-18,Romania,20174
Honda,Civic,1995,2023-08-06,Lebanon,67062
Wrong Brand,Altima,2004,2020-02-17,Bolivia,60651
Honda,Accord,1998,2021-04-05,Estonia,217310
BMW,X5,1983,2022-06-11,Cote d'Ivoire,12299
Ford,Focus,1977,2023-07-05,Sao Tome and Principe,31577
Mercedes-Benz,C-Class,2019,2021-01-19,Uganda,24960
BMW,5 Series,1972,2019-12-27,British Indian Ocean Territory (Chagos Archipelago),45515
Ford,Focus,2016,2022-08-14,Haiti,74184
Nissan,Altima,1973,2022-02-22,Guernsey,59735
Volkswagen,Golf,1979,2023-10-07,Isle of Man,31086
Tesla,Model 3,2007,2020-04-03,Kiribati,72709
Chevrolet,Cruze,2002,2020-11-08,Saint Barthelemy,43940
BMW,7 Series,1989,2022-07-27,Gibraltar,20733
Mercedes-Benz,S-Class,2022,2022-07-01,Colombia,15254
Volkswagen,Tiguan,1980,1985-06-30,Barbados,72846
Volkswagen,Golf,2014,2021-11-10,Cocos (Keeling) Islands,68824
Chevrolet,Silverado,1982,2020-04-02,Iran,21170
Nissan,Pathfinder,2013,2020-08-06,Tonga,33116
Mercedes-Benz,GLC,2017,2020-07-04,Philippines,42332
Honda,Pilot,1987,2021-04-29,Kiribati,32870
BMW,7 Series,2011,2022-07-09,Montserrat,42739
Volkswagen,Passat,2009,2019-05-11,Tanzania,11274
Tesla,Model 3,1971,2022-08-22,United Kingdom,76947
Tesla,Model S,2007,2021-12-03,Mali,79523
Chevrolet,Cruze,1974,2019-05-23,French Guiana,11526
Nissan,Altima,2003,2019-07-06,Romania,78475
Volkswagen,Jetta,1977,2019-02-24,Syrian Arab Republic,36487
Honda,Civic,2001,1985-11-24,Latvia,15328
Volkswagen,Golf,1972,2021-03-24,Greenland,27057
Nissan,Altima,1982,2021-10-15,Colombia,75466
Toyota,Camry,2022,2022-07-05,Guinea,71963
Mercedes-Benz,C-Class,1992,2020-01-07,United Arab Emirates,60254
Nissan,Pathfinder,2005,2023-03-21,Bangladesh,31218
Ford,Mustang,2000,2022-05-02,Pakistan,44389
Volkswagen,Passat,2006,2019-04-30,Saint Kitts and Nevis,15932
Audi,A6,2022,2023-07-06,Kazakhstan,39695
Honda,Pilot,1973,2022-05-29,Djibouti,19586
Nissan,Rogue,1970,1999-07-27,Timor-Leste,27310
Honda,CR-V,1997,2021-10-25,Ethiopia,721220
Tesla,Cybertruck,1973,2020-01-09,Cuba,38341
Ford,Escape,2005,2023-10-26,Armenia,45257
Nissan,Pathfinder,2011,2020-08-24,Suriname,59486
Ford,Escape,2001,2022-09-18,Wallis and Futuna,68842
Honda,Civic,2000,2021-03-04,Iraq,71612
Chevrolet,Equinox,1981,2023-02-25,Samoa,45248
Tesla,Model X,2022,2021-11-12,Turkey,19289
Mercedes-Benz,C-Class,2003,2021-07-02,American Samoa,65056
Nissan,Altima,2021,2019-04-14,Bahrain,51381
Tesla,Model S,1991,2023-10-01,Jamaica,24970
Ford,F-150,2012,2019-02-19,Tunisia,20080
Chevrolet,Traverse,1970,2019-08-08,Netherlands,34819
BMW,X5,1992,2019-07-24,Reunion,716250
Wrong Brand,CR-V,2007,2022-06-21,Dominican Republic,16553
Wrong Brand,3 Series,2004,2019-09-29,Germany,47067
Audi,A6,1970,2023-09-20,Haiti,47314
Ford,Explorer,1988,2019-11-30,Luxembourg,39466
Honda,Accord,1988,2022-06-30,Anguilla,47592
Tesla,Model Y,1993,2021-12-08,Western Sahara,29473
Mercedes-Benz,E-Class,1974,2020-03-10,Somalia,531430
Audi,A3,1996,2023-11-28,Bahrain,52176
Nissan,Titan,1987,2021-11-01,Azerbaijan,34828
BMW,X5,2019,2022-04-14,Hungary,67399
Honda,Pilot,1981,2020-12-29,Tonga,60828
Honda,CR-V,1989,2020-09-12,Qatar,30299
Ford,Mustang,2017,2021-02-03,Antigua and Barbuda,25235
Mercedes-Benz,E-Class,1991,2021-10-20,Belarus,54586
Mercedes-Benz,S-Class,1987,2016-11-02,Greenland,44930
Honda,CR-V,1982,2019-08-03,Palau,37553
Tesla,Model Y,1999,2022-01-18,France,24757
Honda,Civic,1974,2023-01-12,Bolivia,75741
Mercedes-Benz,E-Class,2002,2019-08-08,Guatemala,14068
Honda,Odyssey,1976,2014-09-21,Slovakia (Slovak Republic),73670
Ford,Explorer,2003,2022-11-02,Malaysia,21457
Nissan,Sentra,2003,2021-03-10,Bolivia,63673
Nissan,Sentra,1989,2019-04-24,Burundi,68642
Audi,Q7,1999,2020-08-16,Malaysia,10042
Nissan,Altima,2005,2020-10-06,Armenia,19872
Honda,Odyssey,2022,2022-06-12,Portugal,77516
Ford,Focus,1984,2023-08-15,Tanzania,50428
Mercedes-Benz,GLE,1974,2019-11-16,Heard Island and McDonald Islands,52242
Audi,A4,2021,2021-04-18,Central African Republic,50903
Tesla,Model Y,2020,2023-10-18,Antigua and Barbuda,41880
Honda,Pilot,2021,2022-08-31,American Samoa,58017
Chevrolet,Cruze,1972,2023-12-11,Burkina Faso,43345
Volkswagen,Passat,2009,2021-12-22,Wallis and Futuna,44801
Volkswagen,Golf,2012,2020-10-12,Nigeria,370670
Ford,Mustang,2001,2022-07-28,Timor-Leste,23440
Volkswagen,Tiguan,1988,2020-01-02,Saint Martin,79589
Chevrolet,Malibu,2013,2020-07-12,Holy See (Vatican City State),12608
Tesla,Model X,1973,2020-07-30,Yemen,29697
Ford,Explorer,2018,2021-01-10,Eritrea,30436
Chevrolet,Malibu,2013,2022-06-01,Latvia,33668
Nissan,Pathfinder,1993,2020-12-14,Cyprus,279900
Nissan,Rogue,2017,2021-11-16,Australia,48694
