Car Brand,Car Model,Sales Date
Tesla,Cybertruck,2023-03-31
Tesla,Model X,2022-09-25
Honda,Pilot,1975-01-17
Mercedes-Benz,GLE,2023-07-15
Toyota,RAV4,2022-06-02
Chevrolet,Equinox,2021-03-03
Chevrolet,Traverse,2022-06-24
Ford,Explorer,2023-12-26
Wrong Brand,Corolla,2023-10-15
Audi,A3,2022-01-13
Honda,Pilot,2019-09-08
Honda,Odyssey,2021-12-18
Nissan,Sentra,2023-02-13
Chevrolet,Traverse,2021-08-13
Nissan,Sentra,2023-04-10
BMW,3 Series,2020-01-03
Audi,A6,2022-06-01
Honda,Civic,2022-05-05
Nissan,Titan,2023-09-28
Tesla,Cybertruck,2020-11-04
Ford,Mustang,2023-05-30
Honda,Civic,2019-11-12
Wrong Brand,Jetta,2019-09-20
Chevrolet,Equinox,2021-01-20
Chevrolet,Silverado,2022-07-04
Wrong Brand,RAV4,2022-07-01
BMW,5 Series,2019-09-26
Volkswagen,Golf,2023-01-05
Mercedes-Benz,C-Class,2022-08-04
Toyota,Highlander,2020-09-11
Mercedes-Benz,S-Class,2020-05-05
Ford,Mustang,2020-09-05
Mercedes-Benz,GLE,2021-10-28
Ford,Mustang,2022-02-18
Audi,A3,2019-02-23
Volkswagen,Tiguan,2023-04-26
Mercedes-Benz,C-Class,2023-12-14
Volkswagen,Jetta,2022-02-06
Volkswagen,Jetta,2020-10-28
Volkswagen,Tiguan,2019-10-31
Nissan,Rogue,2019-05-04
Mercedes-Benz,C-Class,2022-01-03
Chevrolet,Malibu,2020-04-03
Toyota,Corolla,2023-11-01
Wrong Brand,S-Class,2020-01-23
Nissan,Sentra,2022-06-10
Ford,Escape,2022-12-20
Toyota,Highlander,2019-11-23
Honda,Accord,2019-10-17
Chevrolet,Cruze,2020-04-05
BMW,X3,2020-02-09
Tesla,Model S,2024-01-02
Nissan,Rogue,2020-08-13
Ford,Focus,2020-03-30
Chevrolet,Traverse,2019-05-04
Wrong Brand,RAV4,2023-01-14
Wrong Brand,Traverse,2021-05-27
Ford,F-150,2021-07-29
Audi,Q5,2020-12-23
Tesla,Model X,2022-01-23
Wrong Brand,Explorer,2021-11-28
Ford,Explorer,2020-09-12
Honda,Odyssey,2023-06-24
Mercedes-Benz,S-Class,2021-12-26
Volkswagen,Atlas,2021-11-05
Audi,Q5,2021-01-27
Tesla,Cybertruck,2022-09-04
Chevrolet,Equinox,2020-03-05
Audi,A6,2023-07-04
Audi,A6,2020-01-01
Mercedes-Benz,GLC,2019-08-14
Toyota,Camry,2020-05-21
Toyota,Corolla,2022-04-12
Tesla,Model 3,2021-02-05
Wrong Brand,Camry,2019-03-02
Volkswagen,Passat,2019-11-16
Mercedes-Benz,C-Class,2000-06-22
BMW,7 Series,2019-12-23
BMW,5 Series,2024-02-02
Chevrolet,Silverado,2022-02-09
Ford,Mustang,2019-10-13
Nissan,Sentra,2019-11-14
Ford,Focus,2023-12-07
Nissan,Altima,2019-11-18
Ford,F-150,2021-07-28
Toyota,Camry,2024-01-18
Chevrolet,Malibu,2022-05-04
Honda,Accord,1980-08-04
Wrong Brand,Camry,2022-04-17
Mercedes-Benz,E-Class,2020-08-16
Honda,Pilot,2022-10-28
Mercedes-Benz,E-Class,2022-04-29
Volkswagen,Passat,2021-10-29
Nissan,Pathfinder,2019-03-19
Chevrolet,Silverado,2022-11-02
Volkswagen,Passat,2019-05-22
Audi,Q5,2020-08-17
Chevrolet,Traverse,2023-12-13
Ford,F-150,2020-03-18
Mercedes-Benz,E-Class,2020-05-11
Tesla,Cybertruck,2019-11-26
Honda,Accord,2022-01-06
Ford,Explorer,2019-06-22
Audi,Q7,2022-05-28
Chevrolet,Cruze,2023-08-22
Ford,Mustang,2022-07-19
Volkswagen,Tiguan,2022-10-28
Chevrolet,Traverse,2023-06-10
Mercedes-Benz,GLE,2022-09-25
Toyota,Corolla,2023-11-20
Audi,A6,2022-11-26
Nissan,Pathfinder,2023-05-31
BMW,5 Series,2023-12-08
Audi,A6,2019-10-03
BMW,7 Series,2023-09-19
Tesla,Model 3,2023-01-04
BMW,7 Series,2021-12-17
Chevrolet,Traverse,2022-02-10
Ford,F-150,2021-07-08
Ford,Focus,2020-10-17
Toyota,Camry,1998-04-16
Honda,Pilot,2023-03-03
Tesla,Model S,2021-05-21
Toyota,Tacoma,2022-01-30
Ford,Focus,2019-03-19
Honda,Pilot,2022-04-04
Ford,F-150,2021-05-03
Toyota,Corolla,2022-07-26
Wrong Brand,Tiguan,2022-06-15
Honda,Accord,2022-11-20
Ford,Escape,2021-03-29
BMW,X5,2019-08-01
Chevrolet,Traverse,2019-12-17
Volkswagen,Golf,2019-08-06
Nissan,Rogue,2023-06-16
Volkswagen,Passat,2021-10-15
BMW,X3,2019-11-12
Honda,Pilot,2020-08-04
Tesla,Model Y,2022-07-24
Honda,Pilot,2022-01-01
Audi,Q5,2020-04-29
BMW,X3,2023-07-29
Chevrolet,Cruze,2021-08-13
Audi,Q7,2020-10-15
Chevrolet,Silverado,2020-10-11
Honda,Accord,2019-10-20
Chevrolet,Malibu,2023-09-16
Volkswagen,Jetta,2023-11-13
Tesla,Model 3,2020-07-01
Honda,Odyssey,2021-08-03
Ford,Explorer,2023-08-08
Mercedes-Benz,S-Class,2019-12-06
Audi,A3,2021-12-24
Chevrolet,Traverse,2019-12-08
Audi,A4,2021-10-09
Mercedes-Benz,E-Class,2023-08-10
Nissan,Titan,1972-02-16
Mercedes-Benz,GLE,2019-09-10
Toyota,Corolla,2021-06-20
Tesla,Model X,2020-09-01
Ford,F-150,2021-12-02
Volkswagen,Tiguan,2021-12-11
Ford,Mustang,2021-03-07
Ford,Escape,2023-11-09
Honda,Odyssey,2020-08-21
Honda,Odyssey,2019-05-29
Volkswagen,Tiguan,2021-01-01
Mercedes-Benz,E-Class,2020-06-19
Nissan,Rogue,2023-12-19
Volkswagen,Tiguan,2021-02-18
Chevrolet,Traverse,2019-02-28
Volkswagen,Atlas,2021-09-26
Audi,Q7,2020-01-26
Volkswagen,Atlas,2022-02-16
Honda,Accord,2023-01-02
Audi,Q7,2021-12-05
Audi,A4,2019-07-18
Mercedes-Benz,E-Class,2020-12-21
Volkswagen,Passat,2020-10-26
Chevrolet,Traverse,2020-08-14
Audi,A3,2022-02-06
Nissan,Pathfinder,2022-11-05
Audi,Q7,2020-01-10
Audi,A6,2021-05-19
Volkswagen,Tiguan,2023-10-07
Chevrolet,Cruze,2023-01-18
Chevrolet,Traverse,2020-02-01
Toyota,RAV4,2021-08-15
Nissan,Rogue,2019-07-10
Nissan,Sentra,2014-01-24
Audi,A6,2021-09-30
Chevrolet,Equinox,2023-01-02
Nissan,Rogue,2022-09-20
BMW,5 Series,2019-02-16
BMW,X5,2023-12-06
Tesla,Model S,2023-01-20
BMW,X5,2019-12-24
Audi,Q7,2022-04-29
Ford,Focus,2023-04-07
Ford,F-150,2019-07-16
Toyota,Camry,2022-01-03
Ford,Explorer,2022-11-14
Toyota,RAV4,2022-01-26
Audi,A3,2023-08-05
BMW,7 Series,2019-09-13
Volkswagen,Passat,2021-06-20
Audi,Q7,2019-03-20
Nissan,Rogue,2021-10-25
Ford,Focus,2022-04-30
Wrong Brand,A3,2021-12-06
Ford,Escape,2023-03-27
Audi,Q5,2023-04-08
Ford,Escape,2021-05-12
Audi,A4,2021-10-31
Honda,Accord,2019-10-12
Volkswagen,Passat,1989-12-07
Honda,CR-V,2022-01-21
BMW,X3,2022-03-23
Honda,Pilot,2020-11-13
Honda,CR-V,2005-04-06
Honda,Odyssey,1979-12-24
BMW,3 Series,2023-09-07
Honda,Civic,2022-12-09
Volkswagen,Golf,2019-06-01
Toyota,RAV4,2020-06-01
Toyota,Highlander,1981-11-26
Nissan,Rogue,2021-07-13
Volkswagen,Tiguan,2006-06-21
Chevrolet,Malibu,2023-11-12
Toyota,Corolla,2022-07-26
Toyota,Highlander,2022-06-27
Toyota,Corolla,2022-01-14
Chevrolet,Malibu,2019-02-18
BMW,X5,2023-11-03
Honda,Accord,2022-04-26
Mercedes-Benz,E-Class,2021-02-08
Honda,Civic,2023-07-13
Honda,Odyssey,2022-08-24
Chevrolet,Cruze,2022-02-16
Wrong Brand,Escape,2022-07-05
Chevrolet,Malibu,2022-01-12
Volkswagen,Tiguan,2022-03-31
Mercedes-Benz,C-Class,2021-06-19
Honda,Accord,2023-02-21
Chevrolet,Silverado,2021-01-27
Ford,Focus,2024-01-30
Honda,CR-V,2021-04-20
Audi,A3,2020-03-21
Mercedes-Benz,S-Class,2021-01-25
Honda,Pilot,1986-05-10
Volkswagen,Atlas,2021-04-23
Nissan,Sentra,2023-11-23
Audi,A4,2021-06-05
Chevrolet,Traverse,2021-09-17
Toyota,Highlander,2019-06-29
Tesla,Model 3,2023-06-01
BMW,7 Series,2022-08-06
Tesla,Model 3,2019-03-17
Volkswagen,Atlas,2019-09-07
Mercedes-Benz,GLE,2020-01-21
Tesla,Model 3,2019-07-26
Volkswagen,Tiguan,2021-10-07
Volkswagen,Golf,2023-05-10
Nissan,Titan,2023-12-01
Chevrolet,Equinox,2022-01-25
Wrong Brand,Silverado,2023-10-18
Honda,Civic,2023-08-06
Wrong Brand,Altima,2020-02-17
Honda,Accord,2021-04-05
BMW,X5,2022-06-11
Ford,Focus,2023-07-05
Mercedes-Benz,C-Class,2021-01-19
BMW,5 Series,2019-12-27
Ford,Focus,2022-08-14
Nissan,Altima,2022-02-22
Volkswagen,Golf,2023-10-07
Tesla,Model 3,2020-04-03
Chevrolet,Cruze,2020-11-08
BMW,7 Series,2022-07-27
Mercedes-Benz,S-Class,2022-07-01
Volkswagen,Tiguan,1985-06-30
Volkswagen,Golf,2021-11-10
Chevrolet,Silverado,2020-04-02
Nissan,Pathfinder,2020-08-06
Mercedes-Benz,GLC,2020-07-04
Honda,Pilot,2021-04-29
BMW,7 Series,2022-07-09
Volkswagen,Passat,2019-05-11
Tesla,Model 3,2022-08-22
Tesla,Model S,2021-12-03
Chevrolet,Cruze,2019-05-23
Nissan,Altima,2019-07-06
Volkswagen,Jetta,2019-02-24
Honda,Civic,1985-11-24
Volkswagen,Golf,2021-03-24
Nissan,Altima,2021-10-15
Toyota,Camry,2022-07-05
Mercedes-Benz,C-Class,2020-01-07
Nissan,Pathfinder,2023-03-21
Ford,Mustang,2022-05-02
Volkswagen,Passat,2019-04-30
Audi,A6,2023-07-06
Honda,Pilot,2022-05-29
Nissan,Rogue,1999-07-27
Honda,CR-V,2021-10-25
Tesla,Cybertruck,2020-01-09
Ford,Escape,2023-10-26
Nissan,Pathfinder,2020-08-24
Ford,Escape,2022-09-18
Honda,Civic,2021-03-04
Chevrolet,Equinox,2023-02-25
Tesla,Model X,2021-11-12
Mercedes-Benz,C-Class,2021-07-02
Nissan,Altima,2019-04-14
Tesla,Model S,2023-10-01
Ford,F-150,2019-02-19
Chevrolet,Traverse,2019-08-08
BMW,X5,2019-07-24
Wrong Brand,CR-V,2022-06-21
Wrong Brand,3 Series,2019-09-29
Audi,A6,2023-09-20
Ford,Explorer,2019-11-30
Honda,Accord,2022-06-30
Tesla,Model Y,2021-12-08
Mercedes-Benz,E-Class,2020-03-10
Audi,A3,2023-11-28
Nissan,Titan,2021-11-01
BMW,X5,2022-04-14
Honda,Pilot,2020-12-29
Honda,CR-V,2020-09-12
Ford,Mustang,2021-02-03
Mercedes-Benz,E-Class,2021-10-20
Mercedes-Benz,S-Class,2016-11-02
Honda,CR-V,2019-08-03
Tesla,Model Y,2022-01-18
Honda,Civic,2023-01-12
Mercedes-Benz,E-Class,2019-08-08
Honda,Odyssey,2014-09-21
Ford,Explorer,2022-11-02
Nissan,Sentra,2021-03-10
Nissan,Sentra,2019-04-24
Audi,Q7,2020-08-16
Nissan,Altima,2020-10-06
Honda,Odyssey,2022-06-12
Ford,Focus,2023-08-15
Mercedes-Benz,GLE,2019-11-16
Audi,A4,2021-04-18
Tesla,Model Y,2023-10-18
Honda,Pilot,2022-08-31
Chevrolet,Cruze,2023-12-11
Volkswagen,Passat,2021-12-22
Volkswagen,Golf,2020-10-12
Ford,Mustang,2022-07-28
Volkswagen,Tiguan,2020-01-02
Chevrolet,Malibu,2020-07-12
Tesla,Model X,2020-07-30
Ford,Explorer,2021-01-10
Chevrolet,Malibu,2022-06-01
Nissan,Pathfinder,2020-12-14
Nissan,Rogue,2021-11-16
Honda,Pilot,2024-01-17
Volkswagen,Golf,2022-09-20
Volkswagen,Jetta,2020-04-22
Nissan,Pathfinder,2021-11-22
Tesla,Model Y,2020-08-23
Mercedes-Benz,S-Class,2019-06-13
Toyota,RAV4,2021-06-28
Audi,Q7,2023-08-25
Volkswagen,Passat,2019-03-04
BMW,5 Series,2023-05-10
Tesla,Model S,2019-12-22
Honda,Civic,2019-08-02
Tesla,Model 3,2020-10-21
Nissan,Altima,2019-11-18
Ford,F-150,2021-11-15
Chevrolet,Traverse,1972-06-02
Wrong Brand,Civic,2021-01-12
Wrong Brand,Silverado,2022-01-07
Nissan,Altima,2024-01-22
Audi,A4,2023-11-02
Audi,Q7,2021-11-12
Volkswagen,Tiguan,2021-09-16
Toyota,Corolla,2022-04-11
Honda,Accord,2023-03-16
Wrong Brand,Q7,2021-10-31
Volkswagen,Passat,2020-11-29
Mercedes-Benz,C-Class,2019-04-30
Nissan,Pathfinder,2022-11-09
Mercedes-Benz,GLE,2019-04-10
Honda,Civic,2021-06-12
Mercedes-Benz,GLE,2024-02-05
Nissan,Altima,2023-02-12
Mercedes-Benz,C-Class,2019-12-05
Mercedes-Benz,E-Class,2020-08-07
Chevrolet,Silverado,2019-04-09
Nissan,Pathfinder,1985-07-11
Volkswagen,Passat,2020-01-09
Honda,CR-V,2024-01-09
Audi,Q5,2023-09-02
Toyota,Corolla,2022-10-23
Volkswagen,Jetta,2020-05-31
Toyota,Camry,2023-01-21
Mercedes-Benz,S-Class,2021-07-23
Toyota,RAV4,2020-02-21
Nissan,Titan,2021-05-25
Honda,Odyssey,2020-03-02
Audi,A4,2022-07-27
Nissan,Rogue,2019-09-24
Mercedes-Benz,GLC,2023-03-25
Ford,Escape,2021-02-26
Wrong Brand,Pilot,2020-05-14
Audi,A6,2021-05-18
Nissan,Titan,2019-05-27
Volkswagen,Passat,2020-03-20
Nissan,Titan,2020-07-08
Audi,A3,2019-11-19
BMW,3 Series,2020-07-21
Ford,F-150,2022-04-09
Tesla,Cybertruck,2020-04-17
Nissan,Rogue,2021-02-26
Tesla,Model 3,1976-08-10
Mercedes-Benz,S-Class,2020-04-01
Audi,A6,2021-03-14
Tesla,Model S,2022-12-28
Honda,Odyssey,2019-05-05
Audi,Q7,2022-07-05
Ford,Focus,2019-06-26
Volkswagen,Golf,2023-10-05
Volkswagen,Passat,2023-07-19
Nissan,Altima,2023-07-30
Mercedes-Benz,E-Class,2020-02-16
Nissan,Pathfinder,2020-10-11
Honda,Pilot,2020-01-22
Mercedes-Benz,S-Class,2020-04-24
Honda,CR-V,2022-05-20
Nissan,Sentra,2023-11-03
Mercedes-Benz,GLE,2019-04-16
Audi,Q5,2020-05-06
Nissan,Titan,2021-01-03
Tesla,Cybertruck,2021-09-21
Audi,A6,2023-04-29
BMW,X5,2021-12-04
Volkswagen,Golf,2022-07-27
Tesla,Model X,2019-05-01
Chevrolet,Silverado,2019-10-17
Honda,Civic,2021-01-15
Volkswagen,Jetta,2021-06-12
BMW,X3,2022-02-26
Tesla,Cybertruck,2021-02-27
Honda,Odyssey,2019-09-19
Toyota,RAV4,2023-02-05
Ford,Explorer,2021-11-09
Audi,A4,2021-03-19
BMW,X5,2022-10-21
Volkswagen,Tiguan,2023-11-12
Toyota,Camry,2022-12-15
BMW,X5,2019-10-09
Chevrolet,Cruze,2023-03-21
Chevrolet,Silverado,2022-12-23
Audi,Q5,2020-06-16
Ford,Focus,2022-12-16
Wrong Brand,Altima,1987-12-21
Ford,Escape,2022-07-20
Toyota,Corolla,2023-03-11
Chevrolet,Silverado,2020-03-04
Toyota,Highlander,2019-11-13
Nissan,Altima,2003-02-14
Audi,Q7,1988-10-14
Audi,A6,2022-06-30
Chevrolet,Malibu,2022-05-18
Ford,Escape,2019-09-24
Ford,F-150,2020-06-28
Honda,Civic,2021-01-02
Volkswagen,Passat,2022-05-06
Chevrolet,Silverado,2023-03-08
Volkswagen,Golf,2021-11-03
Tesla,Model S,2019-11-14
Nissan,Sentra,2019-07-28
Toyota,RAV4,2021-05-26
Mercedes-Benz,C-Class,2021-03-31
Audi,A3,2022-05-03
Toyota,Corolla,2020-10-07
Audi,A3,2023-09-26
Toyota,Corolla,2019-09-17
Nissan,Rogue,2023-03-16
BMW,3 Series,2023-09-15
Tesla,Cybertruck,2021-06-17
BMW,5 Series,2021-01-18
Audi,A6,2022-09-23
Nissan,Pathfinder,2020-04-08
Mercedes-Benz,C-Class,2020-08-06
Volkswagen,Atlas,1984-07-18
Mercedes-Benz,GLC,2023-01-13
Tesla,Model X,2022-07-04
Audi,Q5,2020-11-02
Nissan,Sentra,2023-09-05
Nissan,Pathfinder,2020-04-08
Toyota,Highlander,2020-05-29
Mercedes-Benz,C-Class,2023-03-21
BMW,5 Series,2022-03-05
BMW,X5,2021-09-12
Mercedes-Benz,GLE,2019-05-28
Toyota,RAV4,2022-02-12
Volkswagen,Tiguan,2019-10-31
Honda,Pilot,2020-07-31
Volkswagen,Passat,2019-03-25
Nissan,Rogue,2020-11-05
Tesla,Model S,2023-07-28
BMW,X3,2020-09-01
Mercedes-Benz,S-Class,2021-05-07
BMW,X5,2021-05-07
Volkswagen,Jetta,2021-07-24
Honda,Pilot,2022-01-13
Honda,CR-V,2022-02-19
Wrong Brand,C-Class,2020-08-04
Toyota,Highlander,2022-12-16
Ford,Explorer,2023-12-18
Tesla,Model Y,2023-01-14
Chevrolet,Malibu,2022-12-06
Chevrolet,Equinox,2023-02-26
Nissan,Altima,2020-09-12
Audi,Q7,2022-10-14
Volkswagen,Passat,2022-05-11
Audi,Q7,2022-08-29
Chevrolet,Cruze,1974-09-07
Honda,Accord,2020-06-09
Toyota,Corolla,2024-01-13
BMW,3 Series,2024-01-01
Audi,A4,2020-05-28
Ford,F-150,2021-07-12
Ford,F-150,2023-01-08
Wrong Brand,A3,2022-10-03
BMW,X5,2022-12-25
Honda,Pilot,2021-11-05
Volkswagen,Golf,2020-09-27
BMW,X5,2022-01-20
Honda,Pilot,2022-09-17
Volkswagen,Atlas,2019-02-18
Toyota,Tacoma,2023-05-14
Mercedes-Benz,S-Class,2019-09-05
Audi,Q5,2020-03-19
Mercedes-Benz,GLC,2023-08-25
Toyota,Highlander,2023-03-11
Nissan,Sentra,2022-08-07
Ford,Focus,2021-08-31
BMW,X3,2020-09-01
Mercedes-Benz,GLC,2023-05-01
Tesla,Model Y,2022-12-21
Nissan,Rogue,2021-09-27
Wrong Brand,CR-V,2020-12-18
Mercedes-Benz,GLC,2022-09-02
BMW,5 Series,2023-03-24
Ford,F-150,2020-10-16
Ford,F-150,2020-11-24
Volkswagen,Jetta,2019-05-16
Toyota,Highlander,2022-10-29
Ford,Focus,2019-06-22
Honda,CR-V,2020-08-02
Wrong Brand,Tiguan,2020-12-04
Volkswagen,Atlas,2023-11-05
Tesla,Model X,2020-02-03
Honda,Civic,2019-04-20
Audi,Q7,2020-05-19
Honda,Civic,2020-07-08
Tesla,Model Y,2019-06-27
Mercedes-Benz,C-Class,2021-10-07
Honda,Pilot,2019-11-11
BMW,7 Series,1990-07-27
Toyota,Corolla,2020-04-27
Wrong Brand,E-Class,2022-05-04
Chevrolet,Equinox,2020-10-02
Toyota,RAV4,2023-11-06
Nissan,Altima,2019-04-15
Honda,Pilot,2020-02-07
Honda,Odyssey,2023-09-21
Nissan,Sentra,2019-08-20
Mercedes-Benz,C-Class,2022-08-05
BMW,7 Series,2019-08-29
Volkswagen,Passat,2023-03-03
Volkswagen,Jetta,2021-05-23
Honda,CR-V,2020-11-17
Toyota,Corolla,2021-01-01
Volkswagen,Atlas,2020-05-03
BMW,5 Series,2023-05-30
Audi,A6,2020-05-27
Mercedes-Benz,E-Class,2021-10-19
BMW,3 Series,2019-07-04
Wrong Brand,Cruze,2021-02-05
Nissan,Altima,1984-07-08
Volkswagen,Jetta,2019-06-27
Volkswagen,Jetta,2020-01-28
Ford,Explorer,2020-08-16
Tesla,Model Y,2020-06-21
Nissan,Altima,2022-03-07
Mercedes-Benz,GLC,2022-04-02
Toyota,Camry,2020-12-26
Volkswagen,Jetta,2021-10-14
Tesla,Model Y,2022-08-16
Tesla,Cybertruck,2019-02-10
Ford,F-150,2020-06-22
Wrong Brand,Altima,2021-01-15
Nissan,Titan,2022-12-26
Tesla,Model S,2023-12-23
Honda,Accord,2020-03-09
Tesla,Model 3,2021-02-22
Toyota,Corolla,2020-07-17
BMW,X5,2021-06-15
BMW,3 Series,2023-05-28
Volkswagen,Passat,2021-01-29
Honda,CR-V,2023-03-06
Ford,Escape,2021-05-15
Ford,Focus,2021-11-12
Mercedes-Benz,GLE,2023-11-29
Toyota,Tacoma,1973-09-06
Ford,Explorer,2023-09-16
Wrong Brand,5 Series,2021-09-09
Toyota,Tacoma,2021-08-04
Ford,F-150,2022-04-15
Audi,A6,2020-10-05
Wrong Brand,Escape,2019-05-07
Chevrolet,Equinox,2019-12-17
Toyota,RAV4,2022-05-07
Nissan,Rogue,2020-11-29
Honda,Pilot,2024-01-21
BMW,5 Series,2022-04-18
Toyota,Highlander,2021-07-28
Nissan,Altima,2019-03-12
BMW,X5,2022-12-02
BMW,5 Series,2021-04-11
Mercedes-Benz,GLC,2020-02-03
Tesla,Model Y,2022-09-16
BMW,5 Series,2021-08-18
Tesla,Model 3,2020-09-23
Chevrolet,Traverse,1992-07-25
Audi,A4,2020-11-16
BMW,7 Series,2023-05-17
Honda,Civic,2021-10-10
Ford,F-150,2019-11-02
Tesla,Model 3,2021-08-28
Honda,CR-V,2020-06-08
Ford,Mustang,2023-05-24
Volkswagen,Atlas,2019-05-20
Nissan,Titan,2019-12-08
Tesla,Model Y,2021-09-16
Audi,Q5,2019-12-31
Chevrolet,Cruze,2019-12-03
Toyota,Tacoma,2020-11-29
Tesla,Model X,2021-10-07
Nissan,Pathfinder,2020-09-02
Mercedes-Benz,GLE,2021-02-03
Honda,Pilot,2022-08-25
Nissan,Sentra,2021-03-27
Mercedes-Benz,C-Class,2022-12-12
Toyota,Camry,2021-04-03
Nissan,Pathfinder,2020-11-12
Toyota,RAV4,2019-03-12
Toyota,Corolla,2019-09-27
Volkswagen,Passat,2024-01-29
Nissan,Rogue,1988-10-02
Honda,Civic,2024-02-06
Toyota,RAV4,2022-10-23
Wrong Brand,Pilot,2023-09-19
Toyota,Camry,2020-11-06
Audi,Q7,2023-04-24
Mercedes-Benz,C-Class,2019-01-04
Volkswagen,Tiguan,2021-10-13
Mercedes-Benz,S-Class,2022-08-09
Tesla,Model 3,2022-04-18
Nissan,Pathfinder,2023-01-14
Mercedes-Benz,GLE,2022-11-04
Honda,Pilot,2021-02-14
Tesla,Model Y,2021-12-05
Toyota,RAV4,2021-08-13
Nissan,Sentra,2023-11-18
Volkswagen,Jetta,2003-08-23
Ford,Explorer,2020-03-09
Chevrolet,Traverse,2022-03-14
Mercedes-Benz,GLC,2023-05-06
Volkswagen,Jetta,2019-08-04
Mercedes-Benz,C-Class,2020-07-29
Nissan,Titan,2021-09-02
Toyota,Tacoma,2020-09-18
Honda,Odyssey,2022-10-03
Mercedes-Benz,GLE,2022-09-28
Tesla,Cybertruck,2022-02-22
Honda,Pilot,2023-12-07
Mercedes-Benz,GLC,2022-11-29
Honda,Pilot,2020-09-23
Volkswagen,Jetta,2021-02-09
Audi,A6,2023-06-01
Wrong Brand,Passat,2022-12-07
Chevrolet,Malibu,2023-11-23
Chevrolet,Traverse,2022-05-24
Ford,Explorer,2022-11-02
Honda,Civic,2022-02-14
Toyota,Corolla,2019-04-03
BMW,X3,2020-02-17
Honda,Pilot,2023-12-21
Mercedes-Benz,E-Class,2021-05-15
BMW,X5,1993-10-27
Wrong Brand,Mustang,2020-10-23
Audi,A6,2021-12-28
Toyota,Corolla,2020-01-26
Nissan,Titan,2021-05-16
BMW,X5,2021-02-11
